nrobots,radar_radius,alpha,gamma,sim_id,step,cost
1,1,1,1,1,1,-1
1,1,1,1,1,1,-1
1,1,1,1,1,1,-1
1,1,1,1,1,1,-1
1,1,1,1,1,1,4
1,1,1,1,1,1,-1
1,1,1,1,1,1,-1
1,1,1,1,1,1,-1
1,1,1,1,1,1,-1
1,1,1,1,1,1,42
1,1,1,1,1,2,3
1,1,1,1,1,2,17
