nrobots,ncells,steps,total_difficulty,beans_deployed
2,8,2637,675,11
3,13,3514,1326,16
4,18,4946,2496,30
5,23,6317,4063,45
6,28,7455,5773,58
7,33,8625,7726,75
8,38,9898,10092,98
