sim_id,step,idling,travelling,exploring
0,1,5,0,0
0,2,0,5,0
0,3,0,5,0
0,4,0,3,2
0,5,0,2,3
0,6,0,1,4
0,7,1,1,3
0,8,1,2,2
0,9,1,3,1
0,10,0,3,2
0,11,0,3,2
0,12,0,2,3
0,13,2,1,2
0,14,0,3,2
0,15,0,3,2
0,16,1,2,2
0,17,0,3,2
0,18,0,2,3
0,19,0,2,3
0,20,0,2,3
0,21,0,2,3
0,22,2,2,1
0,23,0,3,2
0,24,0,3,2
0,25,0,3,2
0,26,1,1,3
0,27,0,1,4
0,28,0,1,4
0,29,1,1,3
0,30,0,1,4
0,31,0,1,4
0,32,0,1,4
0,33,0,0,5
0,34,0,0,5
0,35,0,0,5
0,36,3,0,2
0,37,0,3,2
0,38,1,3,1
0,39,0,3,2
0,40,1,3,1
0,41,0,2,3
0,42,0,2,3
0,43,1,1,3
0,44,0,2,3
0,45,1,1,3
0,46,0,1,4
0,47,1,1,3
0,48,0,1,4
0,49,1,1,3
0,50,0,1,4
0,51,0,1,4
0,52,0,1,4
0,53,1,0,4
0,54,1,1,3
0,55,1,2,2
0,56,1,3,1
0,57,0,3,2
0,58,0,2,3
0,59,1,1,3
0,60,0,1,4
0,61,2,1,2
0,62,0,3,2
0,63,1,3,1
0,64,0,2,3
0,65,0,1,4
0,66,0,1,4
0,67,0,0,5
0,68,1,0,4
0,69,1,1,3
0,70,0,2,3
0,71,0,1,4
0,72,0,1,4
0,73,1,0,4
0,74,1,1,3
0,75,0,2,3
0,76,0,2,3
0,77,1,2,2
0,78,0,2,3
0,79,0,2,3
0,80,1,2,2
0,81,0,3,2
0,82,0,3,2
0,83,1,1,3
0,84,0,1,4
0,85,1,1,3
0,86,1,2,2
0,87,2,3,0
0,88,0,4,1
0,89,0,3,2
0,90,0,2,3
0,91,0,2,3
0,92,1,2,2
0,93,0,2,3
0,94,0,2,3
0,95,0,2,3
0,96,0,1,4
0,97,1,0,4
0,98,0,1,4
0,99,1,1,3
0,100,0,2,3
0,101,1,1,3
0,102,2,1,2
0,103,0,3,2
0,104,0,3,2
0,105,0,3,2
0,106,0,3,2
0,107,1,3,1
0,108,0,4,1
0,109,0,4,1
0,110,0,3,2
0,111,0,3,2
0,112,0,1,4
0,113,0,1,4
0,114,0,0,5
0,115,1,0,4
0,116,0,1,4
0,117,1,1,3
0,118,0,2,3
0,119,1,2,2
0,120,0,3,2
0,121,0,2,3
0,122,0,2,3
0,123,0,1,4
0,124,0,1,4
0,125,1,0,4
0,126,1,1,3
0,127,0,2,3
0,128,0,2,3
0,129,0,2,3
0,130,1,2,2
0,131,0,1,4
0,132,0,1,4
0,133,1,1,3
0,134,0,1,4
0,135,0,1,4
0,136,1,1,3
0,137,0,2,3
0,138,0,1,4
0,139,0,1,4
0,140,0,1,4
0,141,0,1,4
0,142,1,1,3
0,143,1,2,2
0,144,2,3,0
0,145,0,4,1
0,146,0,4,1
0,147,0,3,2
0,148,0,3,2
0,149,0,3,2
0,150,0,1,4
0,151,0,1,4
0,152,0,1,4
0,153,0,1,4
0,154,1,1,3
0,155,1,2,2
0,156,0,3,2
0,157,0,1,4
0,158,1,1,3
0,159,0,1,4
0,160,1,1,3
0,161,0,2,3
0,162,0,2,3
0,163,0,2,3
0,164,0,2,3
0,165,0,1,4
0,166,0,1,4
0,167,2,1,2
0,168,0,3,2
0,169,0,3,2
0,170,0,3,2
0,171,0,3,2
0,172,1,1,3
0,173,0,2,3
0,174,0,1,4
0,175,0,1,4
0,176,1,1,3
0,177,0,2,3
0,178,1,2,2
0,179,0,3,2
0,180,0,3,2
0,181,0,2,3
0,182,1,1,3
0,183,0,2,3
0,184,0,1,4
0,185,1,1,3
0,186,1,2,2
0,187,0,3,2
0,188,0,3,2
0,189,0,3,2
0,190,0,3,2
0,191,1,3,1
0,192,0,4,1
0,193,1,3,1
0,194,0,4,1
0,195,1,3,1
0,196,0,3,2
0,197,0,2,3
0,198,0,0,5
0,199,0,0,5
0,200,0,0,5
0,201,1,0,4
0,202,0,1,4
0,203,0,1,4
0,204,2,1,2
0,205,0,3,2
0,206,2,3,0
0,207,0,5,0
0,208,0,5,0
0,209,0,5,0
0,210,0,5,0
0,211,0,5,0
0,212,0,4,1
0,213,0,4,1
0,214,0,3,2
0,215,0,2,3
0,216,0,2,3
0,217,0,2,3
0,218,1,2,2
0,219,0,3,2
0,220,1,3,1
0,221,1,4,0
0,222,0,4,1
0,223,0,4,1
0,224,0,4,1
0,225,1,4,0
0,226,0,5,0
0,227,0,4,1
0,228,0,3,2
0,229,1,3,1
0,230,0,4,1
0,231,0,4,1
0,232,0,3,2
0,233,1,3,1
0,234,0,4,1
0,235,0,4,1
0,236,0,4,1
0,237,0,2,3
0,238,1,2,2
0,239,1,1,3
0,240,2,1,2
0,241,2,1,2
0,242,3,0,2
0,243,4,0,1
0,244,4,0,1
1,1,5,0,0
1,2,0,5,0
1,3,0,5,0
1,4,0,5,0
1,5,0,5,0
1,6,0,3,2
1,7,0,3,2
1,8,0,3,2
1,9,0,3,2
1,10,0,3,2
1,11,0,2,3
1,12,0,2,3
1,13,0,1,4
1,14,0,1,4
1,15,0,1,4
1,16,0,1,4
1,17,0,1,4
1,18,0,1,4
1,19,0,1,4
1,20,0,0,5
1,21,0,0,5
1,22,0,0,5
1,23,0,0,5
1,24,0,0,5
1,25,0,0,5
1,26,1,0,4
1,27,0,1,4
1,28,0,1,4
1,29,0,1,4
1,30,0,1,4
1,31,0,1,4
1,32,0,1,4
1,33,0,1,4
1,34,0,1,4
1,35,0,1,4
1,36,0,1,4
1,37,0,1,4
1,38,0,1,4
1,39,0,1,4
1,40,0,1,4
1,41,0,1,4
1,42,0,1,4
1,43,0,1,4
1,44,0,1,4
1,45,1,1,3
1,46,0,2,3
1,47,0,2,3
1,48,0,2,3
1,49,0,1,4
1,50,0,1,4
1,51,0,1,4
1,52,0,1,4
1,53,0,1,4
1,54,0,0,5
1,55,1,0,4
1,56,0,1,4
1,57,0,1,4
1,58,0,1,4
1,59,0,1,4
1,60,0,1,4
1,61,0,1,4
1,62,0,1,4
1,63,0,1,4
1,64,0,1,4
1,65,0,1,4
1,66,0,1,4
1,67,1,1,3
1,68,0,2,3
1,69,0,2,3
1,70,0,2,3
1,71,0,2,3
1,72,1,2,2
1,73,0,3,2
1,74,0,3,2
1,75,0,3,2
1,76,0,3,2
1,77,0,3,2
1,78,0,3,2
1,79,0,1,4
1,80,0,1,4
1,81,0,1,4
1,82,0,0,5
1,83,0,0,5
1,84,0,0,5
1,85,0,0,5
1,86,0,0,5
1,87,0,0,5
1,88,0,0,5
1,89,0,0,5
1,90,0,0,5
1,91,0,0,5
1,92,1,0,4
1,93,0,1,4
1,94,0,1,4
1,95,0,0,5
1,96,0,0,5
1,97,0,0,5
1,98,0,0,5
1,99,0,0,5
1,100,0,0,5
1,101,0,0,5
1,102,0,0,5
1,103,1,0,4
1,104,1,1,3
1,105,0,2,3
1,106,0,2,3
1,107,0,2,3
1,108,0,1,4
1,109,0,0,5
1,110,1,0,4
1,111,0,1,4
1,112,0,1,4
1,113,0,1,4
1,114,0,1,4
1,115,0,1,4
1,116,0,1,4
1,117,0,0,5
1,118,0,0,5
1,119,0,0,5
1,120,1,0,4
1,121,0,1,4
1,122,1,1,3
1,123,0,2,3
1,124,0,1,4
1,125,0,0,5
1,126,0,0,5
1,127,0,0,5
1,128,0,0,5
1,129,0,0,5
1,130,0,0,5
1,131,1,0,4
1,132,0,1,4
1,133,1,1,3
1,134,0,2,3
1,135,0,2,3
1,136,0,2,3
1,137,0,1,4
1,138,0,1,4
1,139,0,0,5
1,140,0,0,5
1,141,0,0,5
1,142,0,0,5
1,143,0,0,5
1,144,0,0,5
1,145,0,0,5
1,146,0,0,5
1,147,0,0,5
1,148,0,0,5
1,149,1,0,4
1,150,0,1,4
1,151,0,1,4
1,152,0,1,4
1,153,0,0,5
1,154,0,0,5
1,155,0,0,5
1,156,0,0,5
1,157,0,0,5
1,158,0,0,5
1,159,0,0,5
1,160,0,0,5
1,161,0,0,5
1,162,0,0,5
1,163,0,0,5
1,164,1,0,4
1,165,0,1,4
1,166,0,1,4
1,167,0,1,4
1,168,0,0,5
1,169,0,0,5
1,170,0,0,5
1,171,0,0,5
1,172,0,0,5
1,173,0,0,5
1,174,1,0,4
1,175,0,1,4
1,176,0,1,4
1,177,0,1,4
1,178,2,1,2
1,179,0,2,3
1,180,0,2,3
1,181,0,2,3
1,182,0,1,4
1,183,0,1,4
1,184,0,1,4
1,185,0,0,5
1,186,0,0,5
1,187,0,0,5
1,188,0,0,5
1,189,0,0,5
1,190,0,0,5
1,191,0,0,5
1,192,1,0,4
1,193,1,1,3
1,194,0,2,3
1,195,0,1,4
1,196,0,1,4
1,197,0,0,5
1,198,1,0,4
1,199,0,1,4
1,200,0,1,4
1,201,0,1,4
1,202,0,1,4
1,203,0,1,4
1,204,0,1,4
1,205,0,1,4
1,206,0,1,4
1,207,0,1,4
1,208,0,1,4
1,209,0,0,5
1,210,0,0,5
1,211,0,0,5
1,212,0,0,5
1,213,0,0,5
1,214,0,0,5
1,215,0,0,5
1,216,0,0,5
1,217,0,0,5
1,218,0,0,5
1,219,0,0,5
1,220,1,0,4
1,221,0,1,4
1,222,2,1,2
1,223,0,3,2
1,224,0,2,3
1,225,0,1,4
1,226,0,0,5
1,227,0,0,5
1,228,0,0,5
1,229,0,0,5
1,230,0,0,5
1,231,1,0,4
1,232,0,1,4
1,233,0,1,4
1,234,0,1,4
1,235,0,1,4
1,236,0,1,4
1,237,0,0,5
1,238,0,0,5
1,239,0,0,5
1,240,0,0,5
1,241,0,0,5
1,242,0,0,5
1,243,0,0,5
1,244,0,0,5
1,245,0,0,5
1,246,0,0,5
1,247,0,0,5
1,248,0,0,5
1,249,0,0,5
1,250,0,0,5
1,251,0,0,5
1,252,0,0,5
1,253,0,0,5
1,254,0,0,5
1,255,0,0,5
1,256,0,0,5
1,257,0,0,5
1,258,1,0,4
1,259,0,1,4
1,260,0,1,4
1,261,0,1,4
1,262,1,1,3
1,263,0,2,3
1,264,0,2,3
1,265,0,2,3
1,266,0,1,4
1,267,0,1,4
1,268,0,0,5
1,269,0,0,5
1,270,0,0,5
1,271,0,0,5
1,272,0,0,5
1,273,1,0,4
1,274,0,1,4
1,275,0,1,4
1,276,0,1,4
1,277,0,1,4
1,278,0,1,4
1,279,1,0,4
1,280,0,1,4
1,281,0,1,4
1,282,0,0,5
1,283,0,0,5
1,284,0,0,5
1,285,0,0,5
1,286,0,0,5
1,287,0,0,5
1,288,0,0,5
1,289,0,0,5
1,290,0,0,5
1,291,0,0,5
1,292,0,0,5
1,293,0,0,5
1,294,0,0,5
1,295,0,0,5
1,296,0,0,5
1,297,0,0,5
1,298,1,0,4
1,299,1,1,3
1,300,0,2,3
1,301,0,2,3
1,302,0,2,3
1,303,0,2,3
1,304,0,2,3
1,305,0,2,3
1,306,0,1,4
1,307,0,0,5
1,308,0,0,5
1,309,0,0,5
1,310,0,0,5
1,311,0,0,5
1,312,0,0,5
1,313,0,0,5
1,314,0,0,5
1,315,0,0,5
1,316,1,0,4
1,317,0,1,4
1,318,0,1,4
1,319,0,1,4
1,320,1,1,3
1,321,0,1,4
1,322,0,1,4
1,323,0,0,5
1,324,0,0,5
1,325,0,0,5
1,326,0,0,5
1,327,0,0,5
1,328,0,0,5
1,329,1,0,4
1,330,0,1,4
1,331,2,1,2
1,332,0,3,2
1,333,0,3,2
1,334,0,3,2
1,335,0,2,3
1,336,0,1,4
1,337,0,0,5
1,338,0,0,5
1,339,0,0,5
1,340,0,0,5
1,341,0,0,5
1,342,0,0,5
1,343,0,0,5
1,344,0,0,5
1,345,0,0,5
1,346,0,0,5
1,347,0,0,5
1,348,0,0,5
1,349,1,0,4
1,350,1,1,3
1,351,0,2,3
1,352,0,1,4
1,353,0,0,5
1,354,0,0,5
1,355,0,0,5
1,356,0,0,5
1,357,0,0,5
1,358,1,0,4
1,359,0,1,4
1,360,0,1,4
1,361,0,1,4
1,362,0,1,4
1,363,0,0,5
1,364,0,0,5
1,365,0,0,5
1,366,0,0,5
1,367,0,0,5
1,368,0,0,5
1,369,0,0,5
1,370,0,0,5
1,371,0,0,5
1,372,0,0,5
1,373,0,0,5
1,374,0,0,5
1,375,0,0,5
1,376,0,0,5
1,377,0,0,5
1,378,0,0,5
1,379,0,0,5
1,380,0,0,5
1,381,0,0,5
1,382,0,0,5
1,383,0,0,5
1,384,1,0,4
1,385,0,1,4
1,386,0,1,4
1,387,0,1,4
1,388,0,1,4
1,389,0,1,4
1,390,0,1,4
1,391,0,1,4
1,392,0,1,4
1,393,0,0,5
1,394,0,0,5
1,395,0,0,5
1,396,0,0,5
1,397,0,0,5
1,398,0,0,5
1,399,0,0,5
1,400,0,0,5
1,401,0,0,5
1,402,0,0,5
1,403,0,0,5
1,404,0,0,5
1,405,0,0,5
1,406,0,0,5
1,407,0,0,5
1,408,1,0,4
1,409,0,1,4
1,410,0,1,4
1,411,0,1,4
1,412,0,1,4
1,413,1,1,3
1,414,0,2,3
1,415,0,2,3
1,416,0,2,3
1,417,0,2,3
1,418,0,2,3
1,419,0,2,3
1,420,0,1,4
1,421,0,0,5
1,422,0,0,5
1,423,0,0,5
1,424,1,0,4
1,425,0,1,4
1,426,1,1,3
1,427,0,2,3
1,428,0,2,3
1,429,0,2,3
1,430,0,2,3
1,431,0,2,3
1,432,0,2,3
1,433,0,2,3
1,434,0,1,4
1,435,0,1,4
1,436,0,1,4
1,437,0,1,4
1,438,0,1,4
1,439,0,0,5
1,440,0,0,5
1,441,0,0,5
1,442,1,0,4
1,443,0,1,4
1,444,0,1,4
1,445,0,1,4
1,446,1,1,3
1,447,0,2,3
1,448,0,2,3
1,449,0,2,3
1,450,0,2,3
1,451,0,1,4
1,452,0,1,4
1,453,0,0,5
1,454,0,0,5
1,455,0,0,5
1,456,0,0,5
1,457,1,0,4
1,458,0,1,4
1,459,0,1,4
1,460,0,1,4
1,461,0,1,4
1,462,0,0,5
1,463,0,0,5
1,464,1,0,4
1,465,0,1,4
1,466,1,1,3
1,467,0,2,3
1,468,0,1,4
1,469,0,0,5
1,470,0,0,5
1,471,0,0,5
1,472,0,0,5
1,473,0,0,5
1,474,0,0,5
1,475,0,0,5
1,476,0,0,5
1,477,0,0,5
1,478,0,0,5
1,479,0,0,5
1,480,0,0,5
1,481,1,0,4
1,482,1,1,3
1,483,1,2,2
1,484,0,2,3
1,485,0,1,4
1,486,0,1,4
1,487,0,1,4
1,488,0,1,4
1,489,0,0,5
1,490,0,0,5
1,491,0,0,5
1,492,0,0,5
1,493,0,0,5
1,494,0,0,5
1,495,0,0,5
1,496,0,0,5
1,497,0,0,5
1,498,0,0,5
1,499,0,0,5
1,500,0,0,5
1,501,0,0,5
1,502,0,0,5
1,503,0,0,5
1,504,0,0,5
1,505,0,0,5
1,506,0,0,5
1,507,0,0,5
1,508,0,0,5
1,509,0,0,5
1,510,0,0,5
1,511,1,0,4
1,512,0,1,4
1,513,0,1,4
1,514,0,1,4
1,515,0,1,4
1,516,0,1,4
1,517,0,0,5
1,518,0,0,5
1,519,0,0,5
1,520,0,0,5
1,521,0,0,5
1,522,0,0,5
1,523,0,0,5
1,524,1,0,4
1,525,0,1,4
1,526,0,1,4
1,527,0,1,4
1,528,0,1,4
1,529,0,1,4
1,530,0,1,4
1,531,0,1,4
1,532,0,0,5
1,533,0,0,5
1,534,0,0,5
1,535,0,0,5
1,536,0,0,5
1,537,0,0,5
1,538,0,0,5
1,539,0,0,5
1,540,0,0,5
1,541,0,0,5
1,542,0,0,5
1,543,0,0,5
1,544,0,0,5
1,545,1,0,4
1,546,1,1,3
1,547,0,2,3
1,548,0,2,3
1,549,0,2,3
1,550,0,2,3
1,551,0,2,3
1,552,0,1,4
1,553,0,0,5
1,554,0,0,5
1,555,0,0,5
1,556,0,0,5
1,557,1,0,4
1,558,0,1,4
1,559,0,1,4
1,560,0,1,4
1,561,0,0,5
1,562,1,0,4
1,563,0,1,4
1,564,0,1,4
1,565,0,1,4
1,566,1,1,3
1,567,0,2,3
1,568,0,2,3
1,569,0,1,4
1,570,0,0,5
1,571,0,0,5
1,572,0,0,5
1,573,0,0,5
1,574,0,0,5
1,575,0,0,5
1,576,0,0,5
1,577,0,0,5
1,578,0,0,5
1,579,0,0,5
1,580,0,0,5
1,581,0,0,5
1,582,1,0,4
1,583,0,1,4
1,584,0,1,4
1,585,0,0,5
1,586,0,0,5
1,587,0,0,5
1,588,0,0,5
1,589,0,0,5
1,590,1,0,4
1,591,0,1,4
1,592,0,1,4
1,593,0,1,4
1,594,0,1,4
1,595,0,1,4
1,596,0,1,4
1,597,0,1,4
1,598,0,0,5
1,599,0,0,5
1,600,0,0,5
1,601,0,0,5
1,602,0,0,5
1,603,0,0,5
1,604,0,0,5
1,605,0,0,5
1,606,0,0,5
1,607,1,0,4
1,608,0,1,4
1,609,0,1,4
1,610,0,1,4
1,611,0,1,4
1,612,0,0,5
1,613,0,0,5
1,614,0,0,5
1,615,0,0,5
1,616,0,0,5
1,617,0,0,5
1,618,0,0,5
1,619,0,0,5
1,620,0,0,5
1,621,0,0,5
1,622,1,0,4
1,623,0,1,4
1,624,0,1,4
1,625,1,1,3
1,626,0,2,3
1,627,0,2,3
1,628,0,2,3
1,629,0,1,4
1,630,0,1,4
1,631,0,1,4
1,632,0,1,4
1,633,0,0,5
1,634,0,0,5
1,635,0,0,5
1,636,0,0,5
1,637,0,0,5
1,638,0,0,5
1,639,0,0,5
1,640,0,0,5
1,641,0,0,5
1,642,0,0,5
1,643,0,0,5
1,644,0,0,5
1,645,0,0,5
1,646,0,0,5
1,647,0,0,5
1,648,0,0,5
1,649,0,0,5
1,650,0,0,5
1,651,0,0,5
1,652,0,0,5
1,653,0,0,5
1,654,0,0,5
1,655,0,0,5
1,656,0,0,5
1,657,0,0,5
1,658,1,0,4
1,659,1,1,3
1,660,0,2,3
1,661,0,2,3
1,662,0,2,3
1,663,0,2,3
1,664,0,2,3
1,665,0,2,3
1,666,0,1,4
1,667,0,1,4
1,668,0,1,4
1,669,0,0,5
1,670,0,0,5
1,671,0,0,5
1,672,0,0,5
1,673,1,0,4
1,674,0,1,4
1,675,0,1,4
1,676,0,1,4
1,677,0,1,4
1,678,0,1,4
1,679,0,1,4
1,680,0,0,5
1,681,0,0,5
1,682,0,0,5
1,683,0,0,5
1,684,0,0,5
1,685,0,0,5
1,686,0,0,5
1,687,0,0,5
1,688,0,0,5
1,689,0,0,5
1,690,1,0,4
1,691,0,1,4
1,692,0,1,4
1,693,0,1,4
1,694,0,1,4
1,695,0,1,4
1,696,0,1,4
1,697,0,1,4
1,698,0,1,4
1,699,0,1,4
1,700,0,1,4
1,701,0,1,4
1,702,0,0,5
1,703,1,0,4
1,704,0,1,4
1,705,0,1,4
1,706,1,1,3
1,707,0,2,3
1,708,0,1,4
1,709,0,1,4
1,710,0,1,4
1,711,0,1,4
1,712,0,1,4
1,713,0,1,4
1,714,0,0,5
1,715,0,0,5
1,716,0,0,5
1,717,1,0,4
1,718,1,1,3
1,719,0,2,3
1,720,0,2,3
1,721,0,2,3
1,722,0,2,3
1,723,0,2,3
1,724,0,2,3
1,725,0,2,3
1,726,0,1,4
1,727,0,1,4
1,728,0,0,5
1,729,0,0,5
1,730,0,0,5
1,731,0,0,5
1,732,0,0,5
1,733,0,0,5
1,734,0,0,5
1,735,0,0,5
1,736,0,0,5
1,737,0,0,5
1,738,0,0,5
1,739,2,0,3
1,740,0,2,3
1,741,0,2,3
1,742,0,2,3
1,743,0,1,4
1,744,0,0,5
1,745,0,0,5
1,746,0,0,5
1,747,0,0,5
1,748,0,0,5
1,749,0,0,5
1,750,0,0,5
1,751,0,0,5
1,752,0,0,5
1,753,1,0,4
1,754,0,1,4
1,755,0,1,4
1,756,0,1,4
1,757,0,0,5
1,758,0,0,5
1,759,0,0,5
1,760,0,0,5
1,761,0,0,5
1,762,0,0,5
1,763,0,0,5
1,764,0,0,5
1,765,0,0,5
1,766,0,0,5
1,767,0,0,5
1,768,1,0,4
1,769,1,1,3
1,770,1,2,2
1,771,0,3,2
1,772,0,2,3
1,773,0,1,4
1,774,0,1,4
1,775,1,1,3
1,776,0,2,3
1,777,0,2,3
1,778,0,2,3
1,779,0,2,3
1,780,0,2,3
1,781,0,2,3
1,782,0,2,3
1,783,0,2,3
1,784,0,2,3
1,785,0,1,4
1,786,1,1,3
1,787,0,2,3
1,788,0,2,3
1,789,0,0,5
1,790,0,0,5
1,791,0,0,5
1,792,0,0,5
1,793,0,0,5
1,794,0,0,5
1,795,0,0,5
1,796,0,0,5
1,797,0,0,5
1,798,0,0,5
1,799,0,0,5
1,800,0,0,5
1,801,0,0,5
1,802,0,0,5
1,803,0,0,5
1,804,0,0,5
1,805,1,0,4
1,806,0,1,4
1,807,0,1,4
1,808,0,1,4
1,809,0,1,4
1,810,0,1,4
1,811,0,1,4
1,812,0,0,5
1,813,0,0,5
1,814,0,0,5
1,815,0,0,5
1,816,0,0,5
1,817,0,0,5
1,818,0,0,5
1,819,0,0,5
1,820,0,0,5
1,821,0,0,5
1,822,0,0,5
1,823,0,0,5
1,824,0,0,5
1,825,1,0,4
1,826,0,1,4
1,827,0,1,4
1,828,0,0,5
1,829,0,0,5
1,830,0,0,5
1,831,0,0,5
1,832,0,0,5
